data,m2
2010/5/1,0
2010/5/2,80
2010/5/3,531.25
2010/5/4,616.5
2010/5/5,499.375
2010/5/6,878.125
2010/5/7,996
2010/5/8,975.25
2010/5/9,1085.375
2010/5/10,1190.75
2010/5/11,1432.375
2010/5/12,1453
2010/5/13,1475.75
2010/5/14,1470.75
2010/5/15,1499.5
2010/5/16,1481.125
2010/5/17,1492.125
2010/5/18,1485
2010/5/19,1562
2010/5/20,1686.125
2010/5/21,2334.875
2010/5/22,1771.875
2010/5/23,1796.875
2010/5/24,1647.875
2010/5/25,1660.375
2010/5/26,1715.75
2010/5/27,1728
2010/5/28,1871.75
2010/5/29,1845
2010/5/30,1931.25
2010/5/31,1915
2010/6/1,1903
2010/6/2,1867.25
2010/6/3,1818
2010/6/4,1811.75
2010/6/5,1924
2010/6/6,2085.375
2010/6/7,2126
2010/6/8,2101
2010/6/9,2102.25
2010/6/10,2035.125
2010/6/11,2023.5
2010/6/12,2188.375
2010/6/13,2485.875
2010/6/14,2514
2010/6/15,2453.25
2010/6/16,2602.375
2010/6/17,2597.5
2010/6/18,2592.75
2010/6/19,2595.125
2010/6/20,2623.375
2010/6/21,2583.75
2010/6/22,2233.5
2010/6/23,2223
2010/6/24,2243.25
2010/6/25,2243.25
2010/6/26,2106.25
2010/6/27,2187.75
2010/6/28,2228.25
2010/6/29,2223.75
2010/6/30,2057.5
2010/7/1,2071.125
2010/7/2,2056.875
2010/7/3,2047.875
2010/7/4,1888.875
2010/7/5,2201.625
2010/7/6,2394.75
2010/7/7,2381.25
2010/7/8,2454.25
2010/7/9,2600.375
2010/7/10,2623.5
2010/7/11,2521.375
2010/7/12,2512.5
2010/7/13,2497.125
2010/7/14,2547.375
2010/7/15,2478
2010/7/16,2489.875
2010/7/17,2493.75
2010/7/18,2476.125
2010/7/19,2485.125
2010/7/20,2443.125
2010/7/21,2420.375
2010/7/22,2413.875
2010/7/23,2407.875
2010/7/24,2410.875
2010/7/25,2407.875
2010/7/26,2445.375
2010/7/27,2668.125
2010/7/28,2672.625
2010/7/29,2672.25
2010/7/30,2671.125
2010/7/31,2734.5
2010/8/1,2731.5
2010/8/2,2731.875
2010/8/3,2718
2010/8/4,2681.625
2010/8/5,2262.25
2010/8/6,2259.625
2010/8/7,2588.25
2010/8/8,2168.125
2010/8/9,2407.5
2010/8/10,2447.25
2010/8/11,2389.5
2010/8/12,2388
2010/8/13,2478.75
2010/8/14,2457.375
2010/8/15,2457.375
2010/8/16,2465.625
2010/8/17,2448
2010/8/18,2544.375
2010/8/19,2538
2010/8/20,2528.25
2010/8/21,2516.625
2010/8/22,2469.75
2010/8/23,2511.75
2010/8/24,2368.875
2010/8/25,2487.75
2010/8/26,2500.125
2010/8/27,2480.625
2010/8/28,2508.375
2010/8/29,2500.125
2010/8/30,2503.125
2010/8/31,2499.75
2010/9/1,2501.625
2010/9/2,2494.5
2010/9/3,2493.75
2010/9/4,2493
2010/9/5,2485.5
2010/9/6,2499
2010/9/7,2484
2010/9/8,2519.625
2010/9/9,2565
2010/9/10,2675.625
2010/9/11,2675.625
2010/9/12,2670
2010/9/13,2734.875
2010/9/14,2729.625
2010/9/15,2781.375
2010/9/16,2796.375
2010/9/17,2827.5
2010/9/18,2838.75
2010/9/19,2790
2010/9/20,2789
2010/9/21,2510.375
2010/9/22,2691
2010/9/23,2964
2010/9/24,2949
2010/9/25,2948.25
2010/9/26,2965.5
2010/9/27,2899.125
2010/9/28,2925.375
2010/9/29,2931.375
2010/9/30,2906.625
2010/10/1,2902.125
2010/10/2,2891.25
2010/10/3,2887.125
2010/10/4,2870.25
2010/10/5,2951.25
2010/10/6,2883
2010/10/7,2795.25
2010/10/8,2725.5
2010/10/9,2754.375
2010/10/10,2792.625
2010/10/11,3012.75
2010/10/12,2786.625
2010/10/13,2782.875
2010/10/14,2813.25
2010/10/15,2817.75
2010/10/16,2779.5
2010/10/17,2935.5
2010/10/18,2896.125
2010/10/19,2893.5
2010/10/20,2888.625
2010/10/21,2898.75
2010/10/22,2955
2010/10/23,2938.125
2010/10/24,2938.125
2010/10/25,2972.25
2010/10/26,2989.5
2010/10/27,3030
2010/10/28,3021
2010/10/29,3024
2010/10/30,3010.875
2010/10/31,2935.5
2010/11/1,2928.75
2010/11/2,2998.5
2010/11/3,2996.625
2010/11/4,2990.625
2010/11/5,3053.25
2010/11/6,3060
2010/11/7,2998.5
2010/11/8,2977.125
2010/11/9,2911.875
2010/11/10,2895.375
2010/11/11,2838
2010/11/12,2845.125
2010/11/13,2812.875
2010/11/14,2778
2010/11/15,2794.875
2010/11/16,2982.75
2010/11/17,2817
2010/11/18,2828.25
2010/11/19,2855.625
2010/11/20,2815.125
2010/11/21,2878.875
2010/11/22,2875.125
2010/11/23,2887.875
2010/11/24,2802.375
2010/11/25,2827.5
2010/11/26,2782.125
2010/11/27,2789.625
2010/11/28,2799
2010/11/29,2804.625
2010/11/30,2940.375
2010/12/1,2815.875
2010/12/2,2806.875
2010/12/3,2740.125
2010/12/4,2612.625
2010/12/5,2655.75
2010/12/6,2655.375
2010/12/7,2707.125
2010/12/8,2547
2010/12/9,2586.5
2010/12/10,2589.375
2010/12/11,2466.75
2010/12/12,2471.625
2010/12/13,2454.75
2010/12/14,2452.875
2010/12/15,2419.625
2010/12/16,2405.25
2010/12/17,2402.25
2010/12/18,2420.25
2010/12/19,2492.25
2010/12/20,2453.25
2010/12/21,2454.375
2010/12/22,2622.375
2010/12/23,2614.125
2010/12/24,2541.375
2010/12/25,2557.125
2010/12/26,2551.125
2010/12/27,2415.75
2010/12/28,2438.25
2010/12/29,2477.25
2010/12/30,3449.25
2010/12/31,3459
2011/1/1,3406.875
2011/1/2,3403.5
2011/1/3,3396.75
2011/1/4,3385.5
2011/1/5,3498
2011/1/6,3503
2011/1/7,3480.75
2011/1/8,3321.375
2011/1/9,3320.25
2011/1/10,3220.875
2011/1/11,3280.5
2011/1/12,3194.625
2011/1/13,3182.625
2011/1/14,3252
2011/1/15,3604.125
2011/1/16,3231
2011/1/17,3233.25
2011/1/18,3218.375
2011/1/19,3153.75
2011/1/20,3205.125
2011/1/21,3197.625
2011/1/22,3256.125
2011/1/23,3250.125
2011/1/24,3234.75
2011/1/25,3334.875
2011/1/26,3348
2011/1/27,3376.875
2011/1/28,3414.75
2011/1/29,3414
2011/1/30,3413.625
2011/1/31,3496.125
2011/2/1,3461.25
2011/2/2,3469.125
2011/2/3,3483.375
